timestamp,ticker,action,amount,avg_price
2025-11-09T08:11:45.162512,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:11:50.454434,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:11:57.014943,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:12:02.655308,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:12:08.360120,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:12:16.367156,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:12:21.994485,KXBTC-25NOV0909-B102125,buy,25,0.01
2025-11-09T08:48:04.823954,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:12.451007,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:19.786029,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:27.635178,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:35.681253,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:43.799125,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:51.521798,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:48:59.842030,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:49:07.170205,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:49:15.219567,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:49:22.856953,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:49:30.712791,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:49:38.547358,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:49:46.854678,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T08:53:20.196130,KXBTCD-25NOV0909-T99999.99,buy,25,0.8
2025-11-09T10:53:06.160437,KXBTCD-25NOV0911-T99999.99,buy,25,0.68
